date,language,type,title,by,overall,quality,repeatability
2024-04-08,English,movie,Fantastic Beasts: The Secrets of Dumbledore,"David Yates, Jude Law",3.0,4.0,2
2024-04-07,Tamil,movie,Otha Seruppu,Parthiban,3.0,3.0,1
2024-04-07,English,movie,A Brush With Christmas,Unknown,3.0,3.0,1
2024-04-03,Telugu,movie,Kalki,Rajashekar,3.0,3.0,1
2024-04-02,Telugu,movie,Eagle,Ravi Teja,3.0,3.0,1
2024-03-05,Hindi,movie,Band Baaja Baarat,"Ranveer Singh, Anuksha Sharma",3.0,3.0,2
2024-02-18,Hindi,movie,Atrangi Re,"Dhanush, Sara Ali Khan, Akshay Khanna",4.0,4.0,2
2024-02-10,Telugu,movie,Ravanasura,"Ravi Teja, Jayaram",2.0,2.0,1
2024-02-10,Hindi,movie,Rajneeti,"Ranbir Kapoor, Ajay Devgan, Nana Patekar",4.0,4.0,2
2024-02-09,Telugu,movie,Guntur Karam ,"Mahesh Babu, Prakash Raj",2.0,3.0,1
2024-02-07,Telugu,movie,Devil - The British Secret Agent,"Kalyan Ram, Samyuktha Menon",2.0,3.0,1
2024-02-05,Tamil,movie,Kolai,Vijay Antony,2.0,3.0,1
2024-01-31,Telugu,movie,Athidhi,"Mahesh Babu, Amrita Rao",3.0,3.0,2
2024-01-28,Tamil,movie,Maamannan,"Mari Selvaraj, Vadivelu, Fahad Fazil, Udhayanidhi Stalin",4.0,4.0,1
2024-01-28,Hindi,movie,Dream Girl 2,Ayushmann Khurana,3.0,3.0,1
2024-01-26,Telugu,movie,Hi Nanna,"Nani, Mrunal Thakur",3.0,4.0,2
2024-01-17,Hindi,movie,Satyaprem Ki Katha,"Varun Dhawan, Kiara Advani",3.0,3.0,1
2024-01-15,Tamil,movie,Iraivan,"Jayam Ravi, Nayanthara",2.0,3.0,1
2024-01-12,Hindi,movie,Jawan,"Shah Rukh Khan, Nayantara, Vijay Sethupathi",3.0,3.0,1
2024-01-04,English,movie,Threat Level Midnight,Steve Carell,3.0,3.0,1
2023-12-30,Telugu,movie,Miss Shetty and Mr Polishetty,"Anushka Shetty, Navin Polishetty",3.0,4.0,2
2023-12-26,Tamil,movie,Manal Kayiru,"Visu, S Ve Sekhar",4.0,3.0,3
2023-12-25,Tamil,movie,Simla Special,"Kamal Hassan, S Ve Sekhar",3.0,2.0,2
2023-12-22,Tamil,movie,Maaveeran,"Sivakarthikeyan, Mysskin",3.0,4.0,1
2023-12-21,Tamil,movie,Doctor,Sivakarthikeyan,3.0,3.0,2
2023-12-08,Tamil,movie,Vedikkai En Vadikkai,"Visu, Poornam Viswanathan",3.0,3.0,2
2023-12-05,English,movie,The Equalizer 3,Denzel Washington,3.0,3.0,1
2023-12-02,Hindi,movie,Cirkus,"Ranveer Singh, Varun Dhawan",3.0,3.0,1
2023-12-02,Tamil,movie,Leo,Vijay,3.0,4.0,1
2023-11-09,Tamil,movie,Jailer,"Rajanikanth, Vinayakan",3.0,3.0,1
2023-11-05,Telugu,movie,Skanda,Ram Pothineni,2.0,2.0,1
2023-11-04,Tamil,movie,Don,Sivakarthikeyan,4.0,4.0,2
2023-11-02,Tamil,movie,Thunivu,"Ajit, Manju Warrier",3.0,4.0,2
2023-10-22,Malayalam,movie,Pachuvum Athbutha Vilakkum,Fahad Fazil,3.0,4.0,1
2023-10-08,English,movie,Source Code,Jake Gyllenhaal,3.0,3.0,1
2023-10-02,Tamil,movie,Thambi,"Karthi, Jyothika",3.0,4.0,1
2023-09-16,English,series,The Mentalist: Season 7,"Simon Baker, Robin Tunney",3.0,3.0,1
2023-09-06,English,series,The Mentalist: Season 6,"Simon Baker, Robin Tunney",3.0,3.0,1
2023-08-27,English,series,The Mentalist: Season 5,"Simon Baker, Robin Tunney",3.0,3.0,1
2023-08-17,English,series,The Mentalist: Season 4,"Simon Baker, Robin Tunney",3.0,3.0,1
2023-08-07,Tamil,movie,Jailer,"Rajanikanth, Vinayakan",3.0,3.0,1
2023-08-28,English,series,Secret Invasion,Samuel L Jackson,3.0,3.0,1
2023-08-27,English,movie,Passengers,"Chris Pratt, Jennifer Lawrence",3.0,3.0,1
2023-08-26,Telugu,movie,Bro,"Sai Dharam Tej, Pawan Kalyan",1.0,2.0,1
2023-08-26,Tamil,movie,Maaveeran,"Sivakarthikeyan, Mysskin",3.0,4.0,1
2023-08-23,English,series,The Mentalist: Season 3,"Simon Baker, Robin Tunney",3.0,3.0,1
2023-08-18,English,series,The Mentalist: Season 2,"Simon Baker, Robin Tunney",3.0,3.0,1
2023-08-13,English,movie,Two Distant Strangers,"Carter James, Andrew Howard",3.0,4.0,1
2023-08-10,Hindi,movie,Doctor G,"Ayushmann Khurana, Rakul Preet Singh",3.0,4.0,1
2023-08-09,English,movie,What Men Want,Taraji P Henson,2.0,2.0,1
2023-08-09,English,series,Designated Survivor S03E03,Kiefer Sutherland,3.0,3.0,1
2023-07-31,English,series,Designated Survivor S03E02,Kiefer Sutherland,3.0,3.0,1
2023-07-20,English,series,Designated Survivor S03E01,Kiefer Sutherland,3.0,3.0,1
2023-07-18,English,movie,White House Down,"Channing Tatum, Jamie Foxx",3.0,3.0,2
2023-07-15,English,movie,John Wick,Keanu Reeves,3.0,3.0,1
2023-07-15,English,movie,Top Gun: Maverick,Tom Cruise,3.0,4.0,1
2023-07-15,English,movie,Dungeons and Dragons: Honor Among Thieves,Chris Pine,2.0,3.0,1
2023-07-02,Telugu,movie,Virupaksha,"Sai Dharam Tej, Samyuktha Menon",2.0,2.0,1
2023-06-29,English,movie,Spy,Melissa McCarthy,3.0,3.0,1
2023-06-25,English,TV series,The Queen's Gambit,Unknown,3.0,3.0,1
2023-06-25,English,movie,Free Guy,"Ryan Reynolds, Jodie Comer",3.0,4.0,2
2023-06-21,Tamil,movie,Thillu Mullu,"K Balachandar, Rajnikanth",5.0,4.0,3
2023-06-18,English,movie,The Proposal,"Ryan Reynolds, Sandra Bullock",2.0,2.0,1
2023-06-18,Chinese,movie,Ip Man 3,Donnie Yen,3.0,4.0,1
2023-06-17,Tamil,movie,Kaappaan,"Surya, Mohanlal, Arya",3.0,4.0,1
2023-06-16,English,TV series,American Born Chinese,Unknown,3.0,3.0,1
2023-06-15,Telugu,movie,Waltair Veeraiyya,"Chiranjeevi, Ravi Teja",2.0,3.0,1
2023-06-12,Tamil,movie,Kalaga Thalaivan,"Udhayanidhi Stalin, Aarav",4.0,4.0,1
2023-06-11,English,movie,Ant Man and the Wasp: Quantumania,"Paul Rudd, Michael Douglas, Michelle Pfieffer",3.0,4.0,1
2023-06-11,Tamil,movie,Theerkadarishi,"Sathyaraj, Ajmal Ameer",3.0,4.0,1
2023-06-09,Telugu,movie,Nenu Sailaja,"Ram Pothineni, Keerthi Suresh",3.0,3.0,2
2023-05-25,English,series,The Mentalist: Season 1,"Simon Baker, Robin Tunney",3.0,3.0,1
2023-05-22,Tamil,movie,Ponniyin Selvan 2,"Mani Ratnam, Karthi, Jayam Ravi, Vikram",4.0,4.0,2
2023-05-20,Tamil,movie,Thunivu,"Ajit, Manju Warrier",3.0,4.0,2
2023-05-16,Hindi,movie,Tu Jhoothi Main Makkaar,"Ranbir Kapoor, Shraddha Kapoor",3.0,3.0,1
2023-05-12,Hindi,movie,Ginny Weds Sunny,"Vikrant Massey, Yami Gautam",3.0,3.0,1
2023-05-11,Telugu,movie,Srinivasa Kalyanam,"Nitin,  Rashi Khanna",2.0,3.0,1
2023-05-09,Telugu,movie,Bruce Lee The Real Hero,"Ram Charan Teja, Rakul Preet Singh",2.0,3.0,1
2023-05-07,Telugu,movie,Govindudu Andarivadele,"Ram Charan Teja, Kajal Aggarwal",2.0,2.0,2
2023-05-06,English,series,India: The Modi Question,Narendra Modi,4.0,4.0,1
2023-05-06,Tamil,movie,Something Something Unakkum Enakkum,"Jayam Ravi, Trisha",4.0,4.0,2
2023-05-03,Tamil,movie,Pathu Thala,"Gautam Karthik, Silambarasan",3.0,3.0,1
2023-04-29,English,movie,Moneyball,Brad Pitt,4.0,4.0,1
2023-04-27,Tamil,movie,Sarbath,Kathir,3.0,3.0,1
2023-04-24,Telugu,movie,Hyper,"Ram Pothineni, Rashi Khanna",2.0,2.0,1
2023-04-22,Tamil,movie,Agilan,Jayam Ravi,1.0,2.0,1
2023-04-16,Tamil,movie,Kannai Nambathey,"Udhayanidhi Stalin, Prasanna, Srikanth, Bhumika Chawla",3.0,4.0,1
2023-04-14,Tamil,movie,Sinam,Arun Vijay,2.0,2.0,1
2023-04-10,Telugu,movie,Hello Guru Prema Kosam,"Ram, Prakash Raj",2.0,3.0,1
2023-04-08,English,TV series,Picard: Season 2,Patrick Stewart,3.0,4.0,1
2023-04-06,English,TV series,Picard: Season 1,Patrick Stewart,3.0,4.0,1
2023-04-05,Tamil,movie,Raman Thediya Seethai,Cheran,4.0,4.0,2
2023-04-04,Tamil,movie,Kanda Naal Mudhal,"Prasanna, Laila",4.0,4.0,3
2023-04-02,Tamil,movie,Vendhu Thanindhathu Kaadu,Simbu,3.0,4.0,1
2023-04-01,Hindi,movie,Pathaan,"Shah Rukh Khan, Deepika Padukone, John Abraham",2.0,3.0,1
2023-03-28,Tamil,movie,Rocketry - The Nambi Effect,"R Madhavan, Surya",3.0,4.0,1
2023-03-26,Tamil,movie,555,Bharath,3.0,3.0,1
2023-03-25,Tamil,movie,Yaanai,Arun Vijay,3.0,3.0,1
2023-03-22,English,movie,Spiderman:  Homecoming,Tom Holland,3.0,4.0,2
2023-03-22,Tamil,movie,Pichaikkaran,Vijay Antony,3.0,3.0,2
2023-03-17,English,movie,The Amazing Spiderman,"Andrew Garfield, Gwen Stacy",2.0,3.0,1
2023-03-17,Tamil,movie,Vathi,Dhanush,3.0,3.0,1
2023-03-17,Hindi,movie,Dilwale,"Shahrukh Khan, Kajol",3.0,3.0,1
2023-03-11,English,movie,Whiplash,JK Simmons,4.0,4.0,1
2023-03-07,English,series,Agents of S.H.I.E.L.D. Season 1,Unknown,3.0,3.0,1
2023-02-26,Tamil,movie,Vaarisu,Vijay,2.0,3.0,1
2023-02-20,Tamil,movie,Trigger,Atharva,3.0,3.0,1
2023-02-19,Tamil,movie,Sardar,"Karthi, Chunkey Pandey",3.0,3.0,1
2023-02-18,Hindi,movie,An Action Hero,Ayushmann Khurana,3.0,4.0,1
2023-02-13,Telugu,movie,Raja The Great,"Ravi Teja, Mehreen Pirzada",3.0,3.0,1
2023-02-12,Hindi,TV series,Farzi,"Shahid Kapoor, Vijay Sethupathi",3.0,4.0,1
2023-02-11,Telugu,movie,Monster,"Mohanlal, Honey Rose",3.0,3.0,1
2023-02-10,Tamil,movie,Thunivu,"Ajit, Manju Warrier",3.0,4.0,1
2023-02-07,Tamil,movie,Manaadu,"Silambarasan, SJ Suryah",4.0,4.0,1
2023-02-06,Telugu,movie,Ramarao On Duty,Ravi Teja,3.0,3.0,1
2023-02-05,Tamil,movie,Diary,Arulnithi,3.0,4.0,1
2023-02-04,English,movie,Wakanda Forever,Unknown,3.0,4.0,1
2023-01-28,Tamil,movie,Laththi Charge,Vishal,3.0,3.0,1
2023-01-22,Tamil,movie,Nitham Oru Vaanam,"Ashok Selvan, Ritu Verma",3.0,3.0,1
2023-01-21,English,movie,Icarus,"Brian Fogel, Grigory Rodchenkov",3.0,4.0,1
2023-01-21,Tamil,series,Vadhandhi,"SJ Surya, Laila, Nasser",4.0,4.0,1
2023-01-19,Tamil,movie,Jagame Thandhiram,"Dhanush, Karthik Subbaraj",3.0,3.0,1
2023-01-18,Tamil,movie,Don,Sivakarthikeyan,4.0,4.0,2
2023-01-15,English,movie,Oblivion,"Tom Cruise, Morgan Freeman",3.0,3.0,1
2023-01-10,Tamil,movie,Adanga Maru,Jayam Ravi,3.0,3.0,1
2023-01-07,Telugu,movie,HIT: The Second Case,Adivi Sesh,4.0,4.0,1
2023-01-06,Telugu,movie,Courier Boy Kalyan,Nitin,2.0,3.0,1
2023-01-05,Tamil,movie,DSP,Vijay Sethupathi,2.0,2.0,1
2023-01-03,Tamil,movie,Coffee with Kadhal,"Jeeva, DD",3.0,3.0,1
2022-12-31,Tamil,movie,Love Today,"Pradeep Ranganathan, Ivana",3.0,4.0,1
2022-12-25,Tamil,movie,Thamarai Nenjam,"Saroja Devi, Nagesh, K Balachander",4.0,4.0,1
2022-12-23,Chinese,movie,Ip Man 2,Donnie Yen,4.0,4.0,1
2022-12-22,Tamil,movie,Viruman,"Karthi, Prakash Raj",2.0,3.0,1
2022-12-21,English,movie,Tag,Jeremy Renner,3.0,3.0,1
2022-12-19,Tamil,movie,Kalaga Thalaivan,"Udhayanidhi Stalin, Aarav",4.0,4.0,1
2022-12-17,Hindi,movie,Brahmastra,"Ranbir Kapoor, Alia Bhatt",3.0,3.0,1
2022-12-16,Telugu,movie,Macherla Niyojakavargam,Nitin,2.0,2.0,1
2022-12-11,English,TV series,Ms Marvel,Unknown,3.0,4.0,1
2022-12-02,English,movie,A Good Day to Die Hard,Bruce Willis,2.0,3.0,1
2022-12-01,Tamil,movie,Beast,"Vijay, Pooja Hegde",3.0,3.0,2
2022-11-28,English,movie,Free Guy,"Ryan Reynolds, Jodie Comer",3.0,4.0,2
2022-11-26,Tamil,movie,Echcharikkai,Sathyaraj,3.0,4.0,1
2022-11-20,English,TV series,She-Hulk,Unknown,2.0,3.0,1
2022-11-13,Hindi,movie,Tadka,"Nana Patekar, Shriya Sharan",3.0,3.0,1
2022-11-03,Telugu,movie,Thank You,"Naga Chaitanya, Rashi Khanna",3.0,3.0,1
2022-10-31,English,movie,The Contractor,Chris Pine,3.0,3.0,1
2022-10-16,Telugu,movie,Bahubali,"Prabhas, Tamanna",3.0,4.0,2
2022-10-11,Tamil,movie,Ponniyin Selvan,"Mani Ratnam, Karthi, Jayam Ravi, Vikram",3.0,4.0,1
2022-10-07,Telugu,movie,Liger,Vijay Devarakonda,2.0,3.0,1
2022-10-05,Tamil,movie,Cobra,Vikram,3.0,3.0,1
2022-10-02,Tamil,movie,Kavan,"Vijay Sethupathi, Madonna Sebastian",3.0,4.0,2
2022-09-30,Tamil,movie,Thiruchitrambalam,"Dhanush, Nithya Menon",3.0,4.0,1
2022-09-29,English,TV series,Moon Knight,Unknown,3.0,3.0,1
2022-09-26,English,TV series,What If…?,Unknown,3.0,4.0,1
2022-09-21,English,TV series,Hawkeye,Unknown,3.0,3.0,1
2022-09-18,English,TV series,WandaVision,Unknown,3.0,3.0,1
2022-09-17,English,TV series,Loki,Unknown,3.0,4.0,1
2022-09-14,Tamil,movie,Doctor,Sivakarthikeyan,3.0,3.0,2
2022-09-11,English,movie,Thor: Love and Thunder,Unknown,3.0,3.0,1
2022-09-10,English,movie,The Gray Man,"Ryan Gosling, Chris Evans, Dhanush",3.0,4.0,1
2022-09-07,English,movie,The Hobbit: The Battle of the Five Armies,"Peter Jackson, Ian McKellan, Martin Freeman",4.0,4.0,2
2022-09-05,English,movie,The Hobbit: The Desolation of Smaug,"Peter Jackson, Ian McKellan, Martin Freeman",3.0,4.0,2
2022-09-04,English,movie,The Hobbit: An Unexpected Journey,"Peter Jackson, Ian McKellan, Martin Freeman",3.0,4.0,2
2022-08-31,Tamil,TV series,Suzhal,"Pushkar, Gayathri, Kathir",4.0,4.0,1
2022-08-27,Hindi,movie,Jab Harry Met Sejal,"Shah Rukh Khan, Anushka Sharma",3.0,3.0,1
2022-08-25,Hindi,movie,HIT: The First Case,Rajkummar Rao,3.0,3.0,1
2022-08-23,Telugu,movie,Major,"Adivi Sesh, Prakash Raj",3.0,3.0,1
2022-08-20,English,movie,Ant-Man and the Wasp,"Paul Rudd, Michael Douglas",3.0,3.0,1
2022-08-19,English,movie,Thor,"Chris Hemsworth, Natalie Portman",2.0,2.0,1
2022-08-18,English,movie,Thor: The Dark World,"Chris Hemsworth, Natalie Portman",3.0,3.0,2
2022-08-16,English,movie,The Avengers,"Robert Downey Jr, Chris Evans, Samuel Jackson",4.0,4.0,2
2022-08-14,English,movie,Avengers: Age of Ultron,"Robert Downey Jr, Chris Evans, Samuel Jackson",3.0,3.0,1
2022-08-14,English,movie,Captain America: The Winter Soldier,"Chris Evans, Scarlett Johannson",3.0,3.0,2
2022-08-13,Hindi,movie,Shaandar,"Shahid Kapoor, Alia Bhat",2.0,3.0,1
2022-08-10,English,movie,Spiderman:  Homecoming,Tom Holland,3.0,4.0,2
2022-08-07,Tamil,movie,Petta,Rajnikanth,3.0,3.0,2
2022-07-31,English,movie,Fantastic Beasts: The Secrets of Dumbledore,"David Yates, Jude Law",3.0,4.0,2
2022-07-28,English,movie,Marry Me,"Jennifer Lopez, Owen Wilson",3.0,3.0,1
2022-07-27,English,movie,Infinite,Mark Walhberg,2.0,3.0,1
2022-07-25,English,movie,Wrath of Man,"Jason Statham, Guy Ritchie",3.0,3.0,1
2022-07-23,Telugu,movie,Godse,"Satya Dev, Aishwarya Lekshmi",3.0,3.0,1
2022-07-16,Hindi,movie,Runway 34,"Ajay Devgan, Amitabh Bachchan",3.0,3.0,1
2022-07-15,Malayalam,movie,Oru CBI Diary Kurippu,Mammootty,3.0,3.0,1
2022-07-12,Telugu,movie,Ante Sundaraniki,"Nani, Nazriya Nazim",3.0,3.0,1
2022-07-10,Tamil,movie,Vikram,"Kamal Hassan, Fahaad Fazil, Vijay Sethupathi",3.0,4.0,2
2022-07-09,Telugu,movie,Sarkaru Vaari Pataa,"Mahesh Babu, Samuthrakani, Keerthi Suresh",2.0,3.0,1
2022-07-07,Tamil,movie,Manmadan Ambu,"Kamal Hassan, Madhavan, Trisha",4.0,4.0,2
2022-07-03,English,movie,Dr Strange in the Multiverse of Madness,Benedict Cumberbatch,3.0,4.0,1
2022-07-02,Telugu,movie,Raja Vikramarka,"Karthikeya Gummakonda, Tanya Ravichandran",3.0,3.0,1
2022-06-30,Hindi,movie,Judwaa 2,Varun Dhawan,2.0,2.0,1
2022-06-29,Hindi,movie,Katti Batti,"Imran Khan, Kangana Ranaut",3.0,3.0,1
2022-06-28,English,movie,S.W.A.T.: Under Siege,Unknown,3.0,3.0,1
2022-06-26,Hindi,movie,Jab We Met,"Shahid Kapoor, Kareena Kapoor",4.0,4.0,3
2022-06-25,English,movie,S.W.A.T.: Firefight,Gabriel Macht,2.0,3.0,1
2022-06-23,Hindi,movie,Mubarakan,"Arjun Kapoor, Anil Kapoor",3.0,3.0,1
2022-06-18,Hindi,movie,Dil To Pagal Hai,"Shah Rukh Khan, Madhuri Dixit",3.0,3.0,2
2022-06-14,Tamil,movie,Idhu Namma Aalu,"Bhagyaraj, Shobana",3.0,4.0,2
2022-06-11,Tamil,movie,Don,Sivakarthikeyan,3.0,3.0,1
2022-06-10,Hindi,movie,Zindagi Na Milegi Dobara,"Hrithik Roshan, Farhan Akthar, Abhay Deol, Katrina Kaif",3.0,4.0,1
2022-06-08,Hindi,movie,October,"Shoojit Sircar, Varun Dhawan",3.0,4.0,1
2022-06-08,Hindi,movie,Chandigarh Kare Aashiqui,"Ayushmann Khurana, Vani Kapoor",3.0,3.0,2
2022-06-04,Hindi,movie,Anari,"Hrishikesh Mukherji, Raj Kapoor, Nutan",4.0,4.0,2
2022-06-03,Hindi,movie,Khoobsurat,"Hrishikesh Mukherji, Rekha",3.0,4.0,2
2022-05-28,Hindi,movie,83,"Ranveer Singh, Jeeva, Deepika Padukone",4.0,4.0,2
2022-05-24,English,movie,The Map of Tiny Perfect Things,"Kathryn Newton, Kyle Allen",3.0,3.0,1
2022-05-20,English,movie,Inside Man,"Denzel Washington, Jodie Foster",5.0,5.0,2
2022-05-19,Telugu,movie,Fidaa,"Shekar Kammula, Varun Tej, Sai Pallavi",5.0,5.0,2
2022-05-18,Telugu,movie,Radhe Shyam,"Prabhas, Pooja Hegde",2.0,2.0,1
2022-05-16,Tamil,movie,Hey Sinamika,"Dulqeer Salman, Aditi Hydari, Kajal Aggarwal",3.0,4.0,1
2022-05-15,Telugu,movie,Manmadhudu 2,"Nagarjuna, Rakul Preet Singh",3.0,3.0,2
2022-05-14,Tamil,movie,Beast,"Vijay, Pooja Hegde",3.0,3.0,2
2022-05-13,Tamil,movie,Yaaradi Nee Mohini,"Dhanush, Nayantara",3.0,3.0,2
2022-04-23,Tamil,movie,Sarpatta Parambarai,Arya,3.0,3.0,1
2022-04-20,Malayalam,movie,Bheeshma Parvam,Mammootty,2.0,3.0,1
2022-04-19,Hindi,movie,Shiddat,"Sunny Kaushal, Radhika Madan",3.0,4.0,1
2022-04-18,Telugu,movie,Varudu Kaavalenu,"Naga Shourya, Ritu Varma",3.0,3.0,1
2022-04-17,Tamil,movie,Thamizh Padam 2,Shiva,3.0,3.0,2
2022-04-16,Telugu,movie,Super Machi,"Kalyaan Dev, Rachita Ram",2.0,2.0,1
2022-04-16,Telugu,movie,Aadavallu Meeku Joharlu,"Sharwanand, Rashmika",3.0,3.0,1
2022-04-15,Telugu,movie,Gaddalakonda Ganesh,"Varun Tej, Atharvaa",3.0,3.0,1
2022-04-12,English,movie,About Time,"Rachel MacAdams, Domhnall Gleeson",3.0,3.0,2
2022-04-10,Malayalam,movie,Minnal Murali,Tovino Thomas,3.0,3.0,1
2022-04-10,Malayalam,movie,Salute,Dulqeer Salman,3.0,4.0,1
2022-04-10,Telugu,movie,Bheemla Nayak,"Pawan Kalyan, Rana Dagubatti",3.0,3.0,1
2022-04-09,Telugu,movie,RRR,"Ram Charan Teja, Jr NTR",4.0,4.0,1
2022-04-09,English,movie,Zodiac,"Jake Gyllenhaal, Mark Ruffalo, Robert Downey Jr",3.0,3.0,1
2022-04-08,English,movie,Black Widow,Scarlett Johansson,3.0,3.0,1
2022-04-06,English,TV series,Taken: Season 2,Unknown,3.0,3.0,1
2022-04-03,English,movie,Looper,"Joseph Gordon-Levitt, Bruce Willis",3.0,3.0,1
2022-04-01,English,TV series,Taken: Season 1,Unknown,3.0,3.0,1
2022-03-29,English,movie,Free Guy,"Ryan Reynolds, Jodie Comer",3.0,4.0,1
2022-03-28,English,movie,Dune,"Timothée Chalamet, Rebecca Ferguson, Zendaya",3.0,3.0,1
2022-03-28,English,movie,The Adam Project,"Ryan Reynolds, Mark Ruffalo",3.0,3.0,1
2022-03-27,Tamil,movie,Valimai,"Ajith, Kartikeya Gummakonda",3.0,4.0,1
2022-03-27,Telugu,movie,Sagara Sangaman,"K. Viswanath, Kamal Hassan, Jayapradha",5.0,5.0,3
2022-03-25,Hindi,movie,83,"Ranveer Singh, Jeeva, Deepika Padukone",4.0,4.0,2
2022-03-24,Hindi,movie,Shubh Mangal Saavdhan,"Ayushmann Khurana, Bhumi Pednekar",3.0,3.0,1
2022-03-21,Hindi,movie,Dum Laga Ke Haisha,"Ayushmann Khurana, Bhumi Pednekar",3.0,3.0,1
2022-03-18,Hindi,movie,Badhaai Do,"Rajkummar Rao, Bhumi Pednekar",3.0,4.0,1
2022-03-18,Telugu,movie,Geeta Govindam,"Vijay Devarakonda, Rashmika",4.0,4.0,2
2022-03-14,Tamil,movie,Maaran,Dhanush,3.0,3.0,1
2022-03-08,Tamil,movie,Veerame Vaagai Soodum,"Vishal, Dimple Hayathi",3.0,3.0,1
2022-03-07,Tamil,movie,Enemy,"Vishal, Arya",3.0,3.0,1
2022-03-05,English,movie,Green Book,"Mahershala Ali, Viggo Mortensen",3.0,4.0,1
2022-03-04,Hindi,movie,Manmarziyaan,"Tapsee Pannu, Abhishek Bachchan",3.0,4.0,1
2022-02-27,Malayalam,movie,Bro Daddy,"Mohanlal, Prithviraj",3.0,3.0,1
2022-02-27,Tamil,movie,Mahaan,"Vikram, Bobby Simha, Dhruv Vikram",3.0,4.0,1
2022-02-22,English,movie,Venom: Let There Be Carnage,Tom Hardy,3.0,3.0,1
2022-02-20,Telugu,movie,Ram Asur,"Abhinav Sardhar, Ram Karthik",2.0,2.0,1
2022-02-20,English,movie,The Man From U.N.C.L.E,"Henry Cavill, Hugh Grant",3.0,3.0,1
2022-02-19,English,movie,Spider-Man: No Way Home,"Tom Holland, Benedict Cumberbatch",3.0,4.0,1
2022-02-19,English,movie,Mr Right,"Sam Rockwell, Anna Kendrick",3.0,4.0,2
2022-02-16,Hindi,movie,Tanu Weds Manu,"Madhavan, Kangana Ranaut",4.0,4.0,2
2022-02-13,Telugu,movie,Good Luck Sakhi,"Keerthi Suresh, Jagapathy Babu, Adhi Pinisetty",3.0,3.0,1
2022-02-13,Hindi,movie,Flight,Mohit Chadda,2.0,2.0,1
2022-02-13,English,TV series,Reacher,Alan Richtson,3.0,3.0,1
2022-02-02,Telugu,movie,Kalyana Vaibhogame,"Naga Shaurya, Malavika Nair",3.0,3.0,1
